INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목1   ','   아이디1   ','   닉네임1   ',   0   ,'   내용1      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목2   ','   아이디2   ','   닉네임2   ',   0   ,'   내용2      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목3   ','   아이디3   ','   닉네임3   ',   0   ,'   내용3      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목4   ','   아이디4   ','   닉네임4   ',   0   ,'   내용4      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목5   ','   아이디5   ','   닉네임5   ',   0   ,'   내용5      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목6   ','   아이디6   ','   닉네임6   ',   0   ,'   내용6      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목7   ','   아이디7   ','   닉네임7   ',   0   ,'   내용7      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목8   ','   아이디8   ','   닉네임8   ',   0   ,'   내용8      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목9   ','   아이디9   ','   닉네임9   ',   0   ,'   내용9      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목10   ','   아이디10   ','   닉네임10   ',   0   ,'   내용10      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목11   ','   아이디11   ','   닉네임11   ',   0   ,'   내용11      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목12   ','   아이디12   ','   닉네임12   ',   0   ,'   내용12      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목13   ','   아이디13   ','   닉네임13   ',   0   ,'   내용13      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목14   ','   아이디14   ','   닉네임14   ',   0   ,'   내용14      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목15   ','   아이디15   ','   닉네임15   ',   0   ,'   내용15      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목16   ','   아이디16   ','   닉네임16   ',   0   ,'   내용16      ');
INSERT INTO board (board_no, title, writer_id, writer_nick, hit, content) VALUES (board_seq.nextval, '   제목17   ','   아이디17   ','   닉네임17   ',   0   ,'   내용17      ');
